year,student_name,eng,urdu,isl,math,phy,comp,che
2019,TTTTT,66/100,81/100,99/100,91/100,59/100,97/100,65/100
2010,EEEEE,99/100,66/100,53/100,100/100,62/100,8/100,46/100
2015,FFFFF,61/100,73/100,56/100,59/100,68/100,98/100,52/100
2018,KKKKK,91/100,95/100,95/100,79/100,74/100,88/100,53/100
2009,VVVVV,74/100,96/100,34/100,65/100,49/100,88/100,71/100
2009,KKKKK,91/100,82/100,58/100,70/100,91/100,60/100,53/100
2010,SSSSS,67/100,85/100,93/100,66/100,76/100,93/100,81/100
2010,DDDDD,49/100,59/100,65/100,90/100,2/100,94/100,91/100
2023,LLLLL,78/100,56/100,91/100,88/100,70/100,56/100,70/100
2021,SSSSS,76/100,18/100,8/100,28/100,36/100,13/100,52/100
2022,XXXXX,50/100,70/100,56/100,61/100,52/100,72/100,66/100
2006,WWWWW,95/100,73/100,81/100,98/100,60/100,95/100,50/100
2018,IIIII,90/100,98/100,87/100,68/100,64/100,98/100,79/100
2007,DDDDD,90/100,82/100,6/100,87/100,23/100,48/100,29/100
2019,IIIII,58/100,61/100,66/100,85/100,90/100,71/100,66/100
2016,PPPPP,74/100,62/100,92/100,98/100,53/100,98/100,63/100
2010,WWWWW,43/100,53/100,15/100,73/100,43/100,99/100,78/100
2008,SSSSS,42/100,13/100,85/100,32/100,16/100,63/100,46/100
2010,IIIII,5/100,8/100,73/100,72/100,95/100,63/100,3/100
2011,LLLLL,15/100,33/100,77/100,99/100,53/100,82/100,84/100
2012,RRRRR,49/100,93/100,39/100,52/100,56/100,86/100,84/100
2018,HHHHH,62/100,67/100,99/100,68/100,54/100,86/100,57/100
2006,IIIII,86/100,83/100,96/100,79/100,77/100,57/100,61/100
2019,UUUUU,9/100,53/100,24/100,25/100,37/100,78/100,63/100
2019,LLLLL,92/100,80/100,55/100,74/100,95/100,91/100,59/100
2015,CCCCC,47/100,37/100,97/100,84/100,56/100,57/100,39/100
2023,PPPPP,79/100,71/100,45/100,32/100,47/100,32/100,51/100
2017,HHHHH,81/100,51/100,57/100,79/100,76/100,70/100,84/100
2023,MMMMM,69/100,86/100,56/100,77/100,78/100,73/100,81/100
2019,CCCCC,68/100,55/100,73/100,91/100,65/100,85/100,72/100
2009,UUUUU,12/100,65/100,84/100,56/100,90/100,26/100,14/100
2014,HHHHH,4/100,65/100,69/100,25/100,4/100,21/100,60/100
2013,TTTTT,63/100,77/100,86/100,67/100,59/100,70/100,53/100
2014,CCCCC,50/100,28/100,18/100,76/100,13/100,27/100,41/100
2023,VVVVV,60/100,59/100,85/100,85/100,99/100,86/100,62/100
2010,TTTTT,50/100,63/100,63/100,74/100,83/100,90/100,70/100
2016,FFFFF,72/100,54/100,100/100,79/100,64/100,85/100,75/100
2009,EEEEE,86/100,58/100,34/100,53/100,47/100,34/100,64/100
2011,EEEEE,74/100,55/100,50/100,66/100,93/100,72/100,68/100
2007,PPPPP,13/100,96/100,95/100,39/100,3/100,27/100,97/100
2021,PPPPP,98/100,57/100,56/100,50/100,90/100,54/100,71/100
2008,RRRRR,86/100,54/100,75/100,55/100,93/100,75/100,61/100
2015,NNNNN,84/100,75/100,79/100,57/100,13/100,1/100,19/100
2019,SSSSS,33/100,3/100,93/100,70/100,27/100,78/100,51/100
2015,UUUUU,83/100,68/100,74/100,71/100,78/100,80/100,68/100
2012,OOOOO,93/100,62/100,75/100,93/100,66/100,63/100,63/100
2022,RRRRR,55/100,62/100,46/100,5/100,77/100,51/100,4/100
2013,PPPPP,65/100,63/100,58/100,94/100,68/100,92/100,57/100
2018,TTTTT,87/100,98/100,52/100,76/100,57/100,81/100,93/100
2013,IIIII,82/100,57/100,60/100,92/100,77/100,56/100,62/100
2022,UUUUU,9/100,67/100,53/100,85/100,24/100,60/100,9/100
2013,DDDDD,74/100,95/100,34/100,72/100,75/100,70/100,56/100
2022,NNNNN,19/100,92/100,57/100,74/100,43/100,64/100,46/100
2018,PPPPP,59/100,100/100,88/100,65/100,58/100,100/100,86/100
2006,NNNNN,77/100,99/100,87/100,63/100,50/100,62/100,50/100
2019,FFFFF,62/100,85/100,76/100,54/100,62/100,61/100,79/100
2017,BBBBB,75/100,97/100,84/100,96/100,84/100,94/100,65/100
2019,ZZZZZ,54/100,53/100,55/100,100/100,71/100,59/100,87/100
2022,DDDDD,18/100,97/100,43/100,87/100,27/100,91/100,1/100
2006,LLLLL,51/100,99/100,29/100,54/100,89/100,87/100,30/100
2008,EEEEE,63/100,87/100,73/100,81/100,88/100,85/100,57/100
2020,ZZZZZ,58/100,96/100,97/100,77/100,70/100,69/100,69/100
2012,YYYYY,100/100,91/100,66/100,99/100,53/100,76/100,86/100
2022,ZZZZZ,91/100,77/100,83/100,86/100,71/100,80/100,85/100
2011,PPPPP,47/100,40/100,87/100,94/100,25/100,47/100,10/100
2020,XXXXX,96/100,68/100,64/100,63/100,94/100,14/100,9/100
2017,GGGGG,35/100,48/100,76/100,74/100,43/100,5/100,25/100
2016,ZZZZZ,12/100,34/100,80/100,45/100,52/100,46/100,30/100
2011,OOOOO,77/100,36/100,87/100,88/100,69/100,25/100,58/100
2019,DDDDD,52/100,79/100,96/100,96/100,96/100,93/100,90/100
2016,KKKKK,7/100,55/100,10/100,81/100,68/100,92/100,63/100
2023,JJJJJ,40/100,37/100,20/100,93/100,48/100,28/100,67/100
2016,XXXXX,94/100,22/100,74/100,79/100,11/100,33/100,67/100
2023,UUUUU,88/100,94/100,79/100,91/100,67/100,88/100,67/100
2008,MMMMM,44/100,27/100,29/100,86/100,82/100,8/100,80/100
2016,UUUUU,87/100,94/100,81/100,92/100,51/100,92/100,96/100
2012,HHHHH,78/100,75/100,57/100,97/100,87/100,62/100,90/100
2006,SSSSS,19/100,98/100,72/100,73/100,56/100,85/100,66/100
2008,XXXXX,57/100,90/100,65/100,52/100,52/100,95/100,97/100
2006,VVVVV,56/100,80/100,93/100,70/100,80/100,55/100,90/100
2019,AAAAA,63/100,61/100,61/100,81/100,81/100,58/100,71/100
2012,BBBBB,74/100,1/100,12/100,92/100,38/100,26/100,45/100
2008,TTTTT,63/100,90/100,12/100,9/100,98/100,98/100,2/100
2016,LLLLL,80/100,49/100,74/100,82/100,31/100,85/100,45/100
2019,PPPPP,6/100,62/100,42/100,12/100,42/100,56/100,1/100
2013,ZZZZZ,96/100,52/100,51/100,72/100,85/100,78/100,55/100
2022,IIIII,50/100,67/100,62/100,92/100,60/100,59/100,62/100
2023,RRRRR,96/100,100/100,92/100,73/100,89/100,79/100,66/100
2012,FFFFF,98/100,94/100,68/100,61/100,75/100,72/100,50/100
2008,JJJJJ,49/100,84/100,32/100,72/100,31/100,91/100,15/100
2018,GGGGG,19/100,22/100,8/100,17/100,29/100,29/100,33/100
2012,SSSSS,93/100,89/100,70/100,61/100,97/100,81/100,94/100
2013,AAAAA,61/100,56/100,99/100,53/100,61/100,54/100,58/100
2006,AAAAA,58/100,80/100,82/100,55/100,85/100,73/100,56/100
2023,NNNNN,89/100,50/100,82/100,56/100,56/100,95/100,74/100
2010,GGGGG,86/100,78/100,94/100,90/100,33/100,44/100,58/100
2015,PPPPP,65/100,99/100,83/100,95/100,99/100,53/100,94/100
2022,GGGGG,92/100,60/100,81/100,63/100,100/100,87/100,63/100
2021,VVVVV,98/100,92/100,84/100,97/100,62/100,61/100,82/100
2011,UUUUU,77/100,22/100,37/100,16/100,90/100,8/100,85/100
2021,EEEEE,83/100,76/100,91/100,93/100,50/100,97/100,67/100
2015,JJJJJ,44/100,33/100,37/100,12/100,34/100,53/100,67/100
2006,KKKKK,83/100,65/100,73/100,87/100,66/100,96/100,71/100
2012,DDDDD,24/100,27/100,21/100,95/100,83/100,57/100,41/100
2008,YYYYY,55/100,97/100,53/100,97/100,55/100,77/100,60/100
2013,BBBBB,42/100,65/100,49/100,43/100,50/100,75/100,72/100
2010,UUUUU,98/100,70/100,85/100,78/100,63/100,66/100,88/100
2015,AAAAA,100/100,67/100,71/100,99/100,91/100,72/100,98/100
2014,GGGGG,64/100,89/100,85/100,78/100,95/100,100/100,92/100
2006,EEEEE,37/100,59/100,61/100,17/100,92/100,25/100,85/100
2019,GGGGG,12/100,83/100,16/100,81/100,77/100,74/100,33/100
2018,DDDDD,77/100,78/100,68/100,63/100,64/100,84/100,75/100
2016,EEEEE,74/100,85/100,80/100,80/100,66/100,66/100,84/100
2008,CCCCC,92/100,86/100,99/100,47/100,8/100,8/100,25/100
2016,IIIII,72/100,98/100,57/100,62/100,69/100,51/100,75/100
2008,WWWWW,56/100,9/100,97/100,7/100,71/100,1/100,52/100
2020,PPPPP,100/100,69/100,55/100,63/100,61/100,98/100,93/100
2006,BBBBB,97/100,98/100,83/100,42/100,53/100,54/100,44/100
2016,MMMMM,9/100,22/100,32/100,13/100,1/100,63/100,11/100
2020,FFFFF,73/100,87/100,81/100,72/100,84/100,58/100,60/100
2009,IIIII,44/100,25/100,37/100,56/100,80/100,73/100,71/100
2014,ZZZZZ,68/100,91/100,54/100,86/100,61/100,72/100,58/100
2018,NNNNN,69/100,86/100,67/100,82/100,94/100,60/100,59/100
2014,UUUUU,69/100,69/100,87/100,93/100,89/100,96/100,80/100
2020,SSSSS,56/100,66/100,65/100,61/100,61/100,69/100,93/100
2015,QQQQQ,61/100,22/100,23/100,100/100,65/100,56/100,32/100
2020,HHHHH,99/100,4/100,33/100,69/100,6/100,76/100,17/100
2017,RRRRR,67/100,95/100,96/100,99/100,64/100,91/100,65/100
2013,GGGGG,87/100,74/100,59/100,51/100,98/100,93/100,95/100
2016,CCCCC,83/100,60/100,68/100,77/100,93/100,67/100,59/100
2011,RRRRR,84/100,61/100,75/100,61/100,97/100,60/100,82/100
2014,VVVVV,30/100,58/100,91/100,86/100,95/100,54/100,21/100
2009,SSSSS,91/100,58/100,80/100,69/100,50/100,68/100,95/100
2023,BBBBB,12/100,76/100,25/100,81/100,48/100,80/100,79/100
2014,FFFFF,15/100,92/100,56/100,45/100,32/100,85/100,43/100
2023,KKKKK,62/100,31/100,2/100,66/100,67/100,25/100,74/100
2013,QQQQQ,4/100,62/100,98/100,96/100,90/100,74/100,75/100
2010,JJJJJ,79/100,61/100,86/100,87/100,57/100,78/100,55/100
2022,EEEEE,57/100,30/100,65/100,42/100,2/100,21/100,70/100
2018,RRRRR,90/100,76/100,81/100,99/100,88/100,83/100,58/100
2007,BBBBB,22/100,20/100,41/100,15/100,85/100,67/100,9/100
2022,LLLLL,60/100,70/100,91/100,91/100,76/100,73/100,74/100
2015,IIIII,54/100,72/100,65/100,1/100,84/100,100/100,90/100
2019,KKKKK,87/100,56/100,88/100,53/100,89/100,51/100,98/100
2015,YYYYY,70/100,77/100,42/100,75/100,40/100,65/100,11/100
2021,ZZZZZ,43/100,23/100,86/100,33/100,58/100,21/100,21/100
2021,TTTTT,81/100,59/100,63/100,53/100,64/100,94/100,98/100
2010,CCCCC,43/100,34/100,95/100,57/100,47/100,22/100,71/100
2021,OOOOO,96/100,83/100,99/100,99/100,97/100,69/100,59/100
2017,XXXXX,13/100,9/100,27/100,72/100,15/100,95/100,35/100
2016,BBBBB,57/100,13/100,100/100,100/100,4/100,49/100,83/100
2009,LLLLL,98/100,72/100,86/100,97/100,74/100,96/100,87/100
2014,XXXXX,64/100,62/100,82/100,55/100,57/100,66/100,56/100
2011,HHHHH,66/100,90/100,53/100,59/100,59/100,84/100,90/100
2015,EEEEE,26/100,29/100,98/100,5/100,18/100,7/100,32/100
2012,JJJJJ,55/100,84/100,12/100,17/100,37/100,81/100,10/100
2016,SSSSS,50/100,61/100,32/100,75/100,33/100,22/100,41/100
2013,RRRRR,53/100,94/100,64/100,56/100,82/100,98/100,98/100
2007,RRRRR,2/100,75/100,17/100,72/100,53/100,1/100,48/100
2014,SSSSS,20/100,39/100,68/100,25/100,97/100,77/100,19/100
2020,DDDDD,82/100,100/100,63/100,82/100,84/100,98/100,99/100
2021,BBBBB,71/100,87/100,90/100,87/100,60/100,53/100,51/100
2006,GGGGG,78/100,50/100,68/100,62/100,86/100,98/100,75/100
2007,AAAAA,61/100,56/100,91/100,80/100,90/100,61/100,68/100
2006,HHHHH,50/100,99/100,65/100,93/100,75/100,10/100,26/100
2007,UUUUU,53/100,58/100,57/100,71/100,62/100,93/100,100/100
2023,ZZZZZ,66/100,99/100,91/100,52/100,71/100,58/100,63/100
2016,AAAAA,17/100,5/100,1/100,9/100,28/100,71/100,86/100
2017,AAAAA,32/100,54/100,100/100,92/100,28/100,37/100,44/100
2020,UUUUU,67/100,69/100,69/100,71/100,94/100,65/100,53/100
2014,OOOOO,53/100,64/100,90/100,75/100,60/100,70/100,54/100
2009,NNNNN,38/100,77/100,31/100,37/100,55/100,99/100,50/100
2012,CCCCC,20/100,46/100,41/100,19/100,14/100,19/100,12/100
2013,NNNNN,51/100,79/100,100/100,87/100,87/100,58/100,79/100
2013,OOOOO,47/100,75/100,83/100,81/100,97/100,39/100,50/100
2017,QQQQQ,55/100,97/100,88/100,77/100,81/100,73/100,61/100
2022,MMMMM,19/100,63/100,6/100,35/100,59/100,10/100,30/100
2013,JJJJJ,38/100,86/100,57/100,42/100,99/100,87/100,43/100
2012,MMMMM,92/100,48/100,98/100,46/100,99/100,10/100,17/100
2009,XXXXX,13/100,55/100,7/100,61/100,12/100,38/100,60/100
2011,WWWWW,68/100,92/100,78/100,65/100,58/100,53/100,93/100
2022,FFFFF,65/100,60/100,65/100,67/100,60/100,94/100,72/100
2012,UUUUU,3/100,97/100,56/100,29/100,59/100,33/100,74/100
2007,CCCCC,56/100,77/100,67/100,76/100,87/100,68/100,90/100
2023,FFFFF,88/100,55/100,95/100,73/100,58/100,68/100,78/100
2015,DDDDD,63/100,63/100,89/100,96/100,93/100,83/100,61/100
2017,PPPPP,43/100,74/100,39/100,16/100,4/100,18/100,19/100
2023,IIIII,81/100,91/100,92/100,89/100,63/100,69/100,99/100
2006,RRRRR,68/100,67/100,76/100,89/100,60/100,92/100,74/100
2017,KKKKK,32/100,24/100,60/100,85/100,94/100,60/100,82/100
2020,VVVVV,87/100,1/100,46/100,48/100,58/100,86/100,90/100
2009,YYYYY,98/100,98/100,70/100,85/100,62/100,100/100,68/100
2008,ZZZZZ,86/100,13/100,82/100,13/100,92/100,20/100,83/100
2014,LLLLL,49/100,74/100,61/100,36/100,59/100,74/100,95/100
2019,JJJJJ,61/100,95/100,100/100,95/100,60/100,85/100,77/100
2011,AAAAA,48/100,76/100,99/100,68/100,63/100,36/100,43/100
2021,WWWWW,84/100,75/100,85/100,76/100,72/100,75/100,65/100
2011,QQQQQ,25/100,84/100,2/100,12/100,95/100,9/100,27/100
2009,RRRRR,76/100,86/100,87/100,59/100,63/100,77/100,77/100
2009,HHHHH,33/100,77/100,69/100,67/100,96/100,94/100,74/100
2010,MMMMM,85/100,74/100,66/100,74/100,64/100,77/100,75/100
2010,VVVVV,91/100,73/100,72/100,68/100,99/100,55/100,56/100
2007,SSSSS,76/100,91/100,99/100,59/100,75/100,80/100,55/100
2006,DDDDD,97/100,79/100,55/100,93/100,53/100,96/100,71/100
2022,HHHHH,75/100,19/100,93/100,70/100,81/100,44/100,24/100
2018,XXXXX,74/100,50/100,91/100,92/100,64/100,56/100,70/100
2012,IIIII,74/100,88/100,41/100,11/100,13/100,96/100,38/100
2010,NNNNN,18/100,39/100,47/100,8/100,59/100,65/100,71/100
2014,NNNNN,39/100,55/100,49/100,12/100,100/100,15/100,53/100
2007,VVVVV,62/100,86/100,84/100,56/100,90/100,63/100,70/100
2008,DDDDD,80/100,70/100,79/100,58/100,98/100,70/100,67/100
2018,VVVVV,85/100,67/100,75/100,81/100,59/100,76/100,83/100
2021,RRRRR,72/100,74/100,96/100,98/100,51/100,52/100,93/100
2022,BBBBB,27/100,86/100,32/100,56/100,62/100,2/100,29/100
2017,VVVVV,71/100,7/100,18/100,59/100,20/100,74/100,93/100
2014,JJJJJ,97/100,88/100,50/100,92/100,17/100,13/100,27/100
2021,HHHHH,61/100,88/100,68/100,50/100,92/100,60/100,68/100
2018,AAAAA,3/100,20/100,61/100,67/100,84/100,14/100,35/100
2017,ZZZZZ,82/100,79/100,62/100,69/100,73/100,61/100,78/100
2010,RRRRR,80/100,40/100,24/100,88/100,11/100,13/100,42/100
2022,CCCCC,41/100,17/100,38/100,84/100,10/100,71/100,40/100
2019,WWWWW,58/100,84/100,74/100,61/100,79/100,53/100,89/100
2012,TTTTT,84/100,68/100,67/100,56/100,18/100,51/100,78/100
2021,IIIII,86/100,87/100,61/100,93/100,92/100,67/100,60/100
2017,FFFFF,78/100,73/100,91/100,88/100,85/100,54/100,85/100
2010,FFFFF,58/100,63/100,86/100,86/100,81/100,70/100,74/100
2012,QQQQQ,19/100,50/100,82/100,50/100,8/100,76/100,77/100
2008,UUUUU,65/100,53/100,76/100,51/100,71/100,98/100,89/100
2014,IIIII,42/100,91/100,12/100,40/100,79/100,60/100,15/100
2021,XXXXX,44/100,61/100,50/100,39/100,54/100,5/100,71/100
2011,KKKKK,76/100,83/100,58/100,91/100,55/100,86/100,87/100
2020,JJJJJ,61/100,87/100,59/100,79/100,60/100,84/100,62/100
2016,OOOOO,87/100,70/100,56/100,57/100,89/100,94/100,62/100
2007,IIIII,76/100,86/100,58/100,59/100,90/100,84/100,97/100
2013,KKKKK,92/100,59/100,99/100,94/100,84/100,53/100,51/100
2014,RRRRR,96/100,70/100,52/100,35/100,88/100,51/100,94/100
2021,QQQQQ,66/100,25/100,63/100,28/100,84/100,72/100,17/100
2007,EEEEE,74/100,61/100,88/100,94/100,58/100,66/100,80/100
2011,SSSSS,15/100,77/100,87/100,5/100,28/100,7/100,40/100
2010,YYYYY,1/100,94/100,75/100,3/100,2/100,52/100,4/100
2017,LLLLL,55/100,75/100,61/100,100/100,83/100,51/100,51/100
2007,MMMMM,91/100,70/100,77/100,70/100,93/100,81/100,79/100
2023,SSSSS,96/100,65/100,79/100,68/100,80/100,76/100,91/100
2011,NNNNN,91/100,99/100,1/100,55/100,21/100,73/100,96/100
2006,YYYYY,90/100,68/100,86/100,53/100,54/100,100/100,76/100
2017,OOOOO,86/100,61/100,97/100,81/100,53/100,64/100,52/100
2011,GGGGG,52/100,78/100,97/100,81/100,92/100,93/100,68/100
2015,WWWWW,49/100,86/100,64/100,74/100,62/100,11/100,61/100
2014,EEEEE,58/100,91/100,57/100,77/100,80/100,71/100,63/100
2010,LLLLL,97/100,42/100,27/100,3/100,90/100,31/100,24/100
2009,JJJJJ,52/100,26/100,30/100,45/100,77/100,80/100,16/100
2011,JJJJJ,90/100,75/100,34/100,93/100,21/100,13/100,95/100
2021,JJJJJ,91/100,57/100,85/100,83/100,57/100,95/100,84/100
2009,PPPPP,53/100,57/100,90/100,87/100,81/100,66/100,96/100
2019,NNNNN,30/100,14/100,46/100,95/100,6/100,17/100,1/100
2022,PPPPP,54/100,51/100,79/100,55/100,54/100,85/100,68/100
2015,SSSSS,71/100,88/100,58/100,86/100,88/100,82/100,64/100
2009,CCCCC,57/100,79/100,92/100,72/100,99/100,66/100,73/100
2012,NNNNN,88/100,7/100,38/100,46/100,20/100,7/100,68/100
2013,YYYYY,84/100,66/100,60/100,81/100,54/100,50/100,67/100
2008,VVVVV,88/100,3/100,98/100,51/100,2/100,71/100,27/100
2012,VVVVV,81/100,72/100,68/100,87/100,88/100,97/100,72/100
2008,OOOOO,69/100,44/100,26/100,1/100,31/100,74/100,85/100
2022,WWWWW,62/100,77/100,86/100,77/100,86/100,24/100,81/100
2021,KKKKK,81/100,90/100,80/100,58/100,55/100,63/100,90/100
2020,NNNNN,100/100,35/100,26/100,1/100,20/100,75/100,56/100
2009,TTTTT,83/100,95/100,87/100,98/100,96/100,66/100,68/100
2022,QQQQQ,67/100,54/100,51/100,72/100,83/100,50/100,79/100
2020,YYYYY,98/100,4/100,45/100,68/100,26/100,70/100,27/100
2006,ZZZZZ,95/100,69/100,18/100,81/100,74/100,5/100,29/100
2016,JJJJJ,95/100,54/100,53/100,97/100,95/100,94/100,92/100
2010,ZZZZZ,70/100,100/100,38/100,88/100,49/100,21/100,33/100
2012,PPPPP,16/100,76/100,13/100,53/100,89/100,25/100,21/100
2023,YYYYY,87/100,86/100,89/100,80/100,92/100,58/100,74/100
2018,EEEEE,27/100,95/100,37/100,49/100,25/100,23/100,75/100
2009,OOOOO,97/100,81/100,80/100,60/100,50/100,53/100,84/100
2013,EEEEE,96/100,77/100,69/100,91/100,97/100,52/100,98/100
2015,OOOOO,91/100,56/100,95/100,69/100,95/100,58/100,66/100
2008,FFFFF,50/100,91/100,99/100,88/100,81/100,63/100,92/100
2011,XXXXX,26/100,37/100,67/100,34/100,92/100,48/100,23/100
2007,QQQQQ,48/100,71/100,18/100,63/100,17/100,99/100,41/100
2023,WWWWW,60/100,67/100,77/100,70/100,70/100,73/100,61/100
2018,OOOOO,65/100,45/100,59/100,82/100,64/100,38/100,66/100
2016,VVVVV,65/100,96/100,60/100,60/100,10/100,8/100,75/100
2022,AAAAA,10/100,39/100,6/100,74/100,56/100,47/100,86/100
2013,HHHHH,97/100,69/100,43/100,84/100,44/100,86/100,46/100
2014,QQQQQ,60/100,52/100,62/100,55/100,59/100,79/100,68/100
2017,TTTTT,3/100,5/100,19/100,32/100,7/100,45/100,47/100
2013,VVVVV,97/100,93/100,55/100,66/100,80/100,54/100,95/100
2022,JJJJJ,5/100,99/100,73/100,9/100,9/100,67/100,91/100
2021,FFFFF,78/100,5/100,92/100,28/100,51/100,21/100,28/100
2013,CCCCC,64/100,78/100,98/100,62/100,70/100,94/100,97/100
2021,UUUUU,78/100,77/100,78/100,55/100,54/100,100/100,95/100
2007,OOOOO,2/100,43/100,81/100,49/100,35/100,95/100,47/100
2012,WWWWW,65/100,73/100,86/100,82/100,21/100,92/100,34/100
2016,HHHHH,90/100,56/100,46/100,6/100,18/100,23/100,2/100
2007,JJJJJ,91/100,87/100,97/100,71/100,66/100,57/100,85/100
2009,ZZZZZ,62/100,95/100,99/100,64/100,59/100,53/100,85/100
2016,QQQQQ,83/100,66/100,99/100,58/100,95/100,92/100,67/100
2014,PPPPP,13/100,100/100,57/100,16/100,88/100,89/100,19/100
2015,VVVVV,68/100,82/100,53/100,60/100,70/100,88/100,57/100
2016,RRRRR,45/100,56/100,66/100,16/100,10/100,44/100,73/100
2008,BBBBB,100/100,74/100,89/100,80/100,61/100,78/100,92/100
2017,MMMMM,68/100,96/100,93/100,25/100,70/100,75/100,75/100
2019,RRRRR,64/100,96/100,50/100,54/100,60/100,52/100,53/100
2011,MMMMM,67/100,63/100,83/100,54/100,100/100,55/100,89/100
2009,QQQQQ,94/100,89/100,88/100,85/100,71/100,95/100,98/100
2014,BBBBB,10/100,9/100,62/100,92/100,26/100,75/100,80/100
2014,TTTTT,71/100,65/100,86/100,95/100,79/100,90/100,75/100
2007,KKKKK,70/100,40/100,77/100,69/100,89/100,74/100,97/100
2015,RRRRR,91/100,50/100,59/100,58/100,50/100,73/100,74/100
